gene_id	TCGA-A7-A13F-01A-11R-A12P-07	TCGA-A7-A13F-11A-42R-A12P-07	TCGA-AO-A12B-01A-11R-A10J-07	TCGA-AR-A1AP-01A-11R-A12P-07	TCGA-AR-A1AS-01A-11R-A12P-07	TCGA-AR-A1AV-01A-21R-A12P-07	TCGA-AR-A1AW-01A-21R-A12P-07	TCGA-BH-A0DD-01A-31R-A12P-07	TCGA-BH-A0DD-11A-23R-A12P-07	TCGA-BH-A0DG-01A-21R-A12P-07	TCGA-BH-A0DG-11A-43R-A12P-07
?|100130426	0	0	0	0	0	0	0	0	0	0	0
?|100133144	0	1.6345	2.051	13.3603	1.3507	13.1083	10.1362	21.7437	1.301	12.874	13.982
?|100134869	1.2048	4.652	0.4863	9.5816	0.4502	8.2906	6.8899	11.1695	0.8673	7.9712	15.7529
?|10357	77.4137	83.5204	62.772	81.3	121.9586	95.925	114.4798	108.0147	104.9436	87.0414	111.7469
?|10431	986.747	653.7943	749.3393	1103.9136	1216.5691	718.0202	894.4381	732.8431	722.4631	968.0526	514.7435
?|136542	0	0	0	0	0	0	0	0	0	0	0
?|155060	40.1606	192.1868	276.562	313.5403	113.9127	190.566	292.0923	170.1681	174.7615	148.0012	234.575
?|26823	0.4016	0.8981	0	1.3495	0.4502	0.2892	1.5134	0.3501	0	0.4169	1.9823
?|280660	0	0	0	0	0	0	0	0	0	0	0
?|317712	0	0	0	0	0	0	0	0	0	0	0
?|340602	0	0	0	0	0	0	0.7567	0	0.4337	0	0
?|388795	0	1.3471	0.4229	1.7994	0	0.8675	1.8918	1.7507	0.4337	0.4169	0.6608
?|390284	12.8514	3.5923	6.3432	5.848	4.5025	9.8319	1.5134	3.8515	1.7346	5.0029	4.6254
?|391343	0.4016	0.449	0	0.4498	3.1517	0	0.3784	0	0	0	0.3304
?|391714	0	0.449	0	0	0	0.2892	0	0.3501	0	0	1.3215
?|404770	0	0	0	0	0	0	0	0	0	0	0
?|441362	0	0	0	0	0	0	0	0	0	0	0
?|442388	0	0	0	0	0	0	0	0	0	0	0
?|553137	2.8112	0	2.9601	0.4498	0	0.2892	0.3784	3.5014	0	0.4169	0.3304
